Timestamp,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values
2025-03-09 01:43:00+00:00,1.0194812166666667,1.0379116,1.0605717166666666,1.05539295,1.0234134,1.0177215666666666,1.01184955,1.02531145,1.0456219333333334,1.08415165,1.02212025,1.0377892,1.0425696,1.03652035,1.0429310333333333,1.0215741333333332
2025-03-09 01:48:00+00:00,0.08002098333333334,0.08367026666666667,0.08068455,0.08354893333333334,0.0731944,0.07472075,0.07634463333333333,0.09681683333333334,0.07533225,0.07304291666666667,0.07888938333333333,0.07408815,0.07565205,0.07127645,0.079394,0.07128681666666667
2025-03-09 01:53:00+00:00,11.743470333333333,10.912890766666667,9.708861016666667,10.9840008,11.7190761,14.740383983333333,12.426957416666667,11.36977725,10.406641333333333,11.5024526,11.203056416666668,12.8563148,10.684234833333333,13.422244183333333,11.197493233333333,14.676996
2025-03-09 01:58:00+00:00,18.105697816666666,15.589308166666667,17.580214783333332,17.3870588,18.9421472,17.586011266666667,18.1166571,18.047492883333334,17.3819137,17.93372985,17.294868666666666,17.664897833333335,17.580116833333335,18.292551583333335,16.749995516666665,17.972169916666665
2025-03-09 02:03:00+00:00,17.405875616666666,16.154370866666667,17.027141966666665,17.9121566,18.796150716666666,16.959069116666665,17.677794316666667,17.580107783333332,17.263526266666666,17.5272842,16.067613033333334,17.284464833333335,18.00823595,11.441265233333333,16.85700891666667,17.955842016666665
2025-03-09 02:08:00+00:00,17.84720786666667,17.2458996,17.799814933333334,17.95246445,18.749962833333335,17.375703233333333,16.9156443,17.962293333333335,17.480392083333335,17.677810083333334,16.6092642,17.479293216666665,17.846907016666666,15.046743316666667,16.901488616666665,18.10771095
2025-03-09 02:13:00+00:00,18.25922345,17.202545666666666,17.93488965,18.013296716666666,18.867046433333332,17.7049795,16.895743216666666,17.978306516666667,17.6756659,18.24820525,15.298826883333334,17.5547631,17.87593783333333,17.282829816666666,16.924902466666666,18.3828839
2025-03-09 02:18:00+00:00,18.40940356666667,17.425878216666668,17.94726455,17.969149616666666,18.8789087,17.720329066666668,16.813811733333335,17.884530766666668,17.755028116666665,18.251053066666667,15.208353866666666,17.644347833333335,18.033531066666665,17.310885233333334,17.136262366666667,18.775642
2025-03-09 02:23:00+00:00,18.321988366666666,18.01542515,18.0603823,17.873060833333334,19.022794683333334,17.5819227,17.115556683333335,17.95507265,17.68815895,18.341719766666667,17.19821895,17.641783183333335,17.603293383333334,18.048013,17.363683766666668,18.852011166666667
2025-03-09 02:28:00+00:00,18.321835666666665,17.880118933333332,17.9853002,17.760954983333335,18.94017985,17.57959668333333,17.348794366666667,17.902013366666665,17.689439633333333,18.2172941,17.490168766666667,17.646851233333333,17.9668401,18.114201583333333,17.47808776666667,18.8522551
2025-03-09 02:33:00+00:00,18.41594275,18.002075566666665,18.08583245,17.880428916666666,18.944656666666667,17.66732255,16.773629983333333,17.923601466666668,17.669553133333334,17.38051775,17.502896716666665,17.61473985,18.12526815,18.20365765,17.6101713,18.488506666666666
2025-03-09 02:38:00+00:00,18.220308783333333,17.725493083333333,18.01866715,17.8671889,14.39536445,17.554396183333335,17.45745055,17.681235133333335,17.6150949,17.463661066666667,17.83753,17.574858383333332,17.821541183333334,18.720272683333334,17.59476748333333,12.376077133333334
2025-03-09 02:43:00+00:00,5.725876766666667,11.689038083333333,8.218543816666667,7.868716216666667,3.155921,8.745425483333333,9.757438016666667,7.141419333333333,11.112983183333334,7.37524905,16.262340016666666,8.977555983333334,7.3913510166666665,11.5345812,12.42629025,5.673758383333333
2025-03-09 02:48:00+00:00,1.9429516666666666,,4.0161658,3.106016416666667,1.92490345,,4.973857766666667,2.5911039,3.7094556333333335,1.9475116833333332,4.49015505,2.2732764333333333,2.99913125,,3.592823966666667,
