Timestamp,Values,Values,Values,Values,Values,Values,Values,Values
2025-03-09 04:01:00+00:00,4.083763247831514,0.11631180799902412,0.0672491035095848,0.06776977547422064,1.5969112355527184,4.019628551488551,4.171193333130014,0.07107242139452709
2025-03-09 04:06:00+00:00,0.21333093978451076,0.17666666666666664,0.19199971667138874,0.19499999999999998,0.1916673336957399,0.18699999999999997,0.1896666666666666,0.1619964501774911
2025-03-09 04:11:00+00:00,33.93447292086877,38.385,32.562333705561755,41.718,37.06183333063884,34.068333333333335,33.727333333333334,39.41766106650055
2025-03-09 04:16:00+00:00,50.03249970280745,50.028999999999996,50.038,50.038,50.02383318065644,50.05533333333333,50.052,49.66166661107361
2025-03-09 04:21:00+00:00,50.024666722238145,50.03333333333333,50.034,50.03766666666667,50.0158340695244,50.034000000000006,50.04266666666667,49.65466647762703
2025-03-09 04:26:00+00:00,50.03816606394708,50.028999999999996,50.03433364449778,50.035333333333334,50.023500991762276,50.00083366389532,50.047000000000004,49.66133333333333
2025-03-09 04:31:00+00:00,50.04233333333333,50.03416681944698,50.032666666666664,50.089,50.01850019168014,49.9949999222075,50.040000000000006,49.65333333333333
2025-03-09 04:36:00+00:00,50.04799957786222,50.03083329722282,50.03999999999999,50.039,50.034167675051165,49.81283454142773,50.04966666666667,49.66016548609143
2025-03-09 04:41:00+00:00,50.03333422786667,50.03566666666666,50.029666666666664,50.04066666666667,50.03216729173014,49.66750154677717,50.040000000000006,49.65683496923579
2025-03-09 04:46:00+00:00,50.026666455580084,50.03233321111453,50.03533333333333,50.03633333333334,50.035333655593156,49.67549920254051,50.04833333333333,49.659331177701574
2025-03-09 04:51:00+00:00,50.01916630279903,49.60433375561629,50.03466666666666,45.821000000000005,50.043666222237306,46.758265287977466,50.038666666666664,42.64433564996139
2025-03-09 04:56:00+00:00,24.702509916336123,,34.51166666666667,,5.9185306176872565,2.69328844519258,39.38666666666666,
