Timestamp,Values,Values,Values,Values
2025-03-08 22:30:00+00:00,16.876948483333333,12.604745,15.774354433333333,13.130058816666667
2025-03-08 22:35:00+00:00,25.86564735,26.073266133333334,26.103825333333333,25.964914533333335
2025-03-08 22:40:00+00:00,24.9236145,25.044040616666667,25.15417575,23.884416666666667
2025-03-08 22:45:00+00:00,23.6091249,24.073116183333333,24.387025816666668,21.624867866666666
2025-03-08 22:50:00+00:00,21.93586675,23.5087604,24.175699566666665,19.284253666666668
2025-03-08 22:55:00+00:00,20.22363765,22.469366083333334,23.791642816666666,17.17495316666667
2025-03-08 23:00:00+00:00,18.783881516666668,21.52535235,23.289768033333335,15.030312916666666
2025-03-08 23:05:00+00:00,17.589363116666668,20.373652333333332,23.50293033333333,12.77024195
2025-03-08 23:10:00+00:00,16.298043933333332,18.984494,23.4271207,10.580844416666666
2025-03-08 23:15:00+00:00,14.818269366666666,17.516023183333335,23.16787535,8.409596666666667
2025-03-08 23:20:00+00:00,13.5545737,15.8319526,22.229083616666667,6.263343083333333
2025-03-08 23:25:00+00:00,13.142887466666666,14.198395133333333,21.703435333333335,12.111549966666667
2025-03-08 23:30:00+00:00,23.960397166666667,22.574006233333332,28.242775833333333,23.462823316666668
