Timestamp,Values,Values,Values,Values
2025-03-08 22:25:00+00:00,2.101403170944846,3.1065770326963245,0.6505607241585107,0.06336153500977022
2025-03-08 22:30:00+00:00,0.2813532370658458,0.18328211039336717,0.1889993418770047,1.5173722831281953
2025-03-08 22:35:00+00:00,39.750937770289354,38.73716607067469,40.8903702684276,45.1881813418775
2025-03-08 22:40:00+00:00,43.45466065282473,42.48091018929175,42.315329365644985,45.612522239189175
2025-03-08 22:45:00+00:00,43.97522171567364,41.38535304033842,40.339753364971806,45.60864244098189
2025-03-08 22:50:00+00:00,44.18190933591374,42.10529267413264,41.12084969121901,45.44296450012315
2025-03-08 22:55:00+00:00,44.0109869011655,42.64579186582539,40.71365259194471,45.48445121351588
2025-03-08 23:00:00+00:00,43.13969474900465,42.791220622842125,40.46906660174393,45.455010833237154
2025-03-08 23:05:00+00:00,43.02346802579895,43.40343077468242,39.68296389807982,45.71214463568383
2025-03-08 23:10:00+00:00,43.81368321311877,43.458822366456346,40.103397652985414,45.31997092082463
2025-03-08 23:15:00+00:00,43.01330358264651,44.027285168981,42.25263689177233,45.40439049133575
2025-03-08 23:20:00+00:00,43.18302287571683,44.04158531106079,41.84521256634234,29.794373214235332
2025-03-08 23:25:00+00:00,21.22789412121343,26.416369729525734,33.96889817355751,12.932288171784458
2025-03-08 23:30:00+00:00,6.401167828098357,7.6154284829982455,13.319873697838347,4.876571199484799
