Timestamp,Values,Values,Values,Values,Values,Values,Values,Values
2025-03-08 23:52:00+00:00,0.10315160486385104,0.01471971329153,0.0595098982770411,0.0081083589313065,0.4090997605718266,0.058905503920475194,5.68352902247047,0.05812270745130455
2025-03-08 23:57:00+00:00,0.19334432034971244,0.23240757677984827,0.19437243162810344,0.212302352339931,0.19632619724585496,0.19068467431416686,0.1937352055666321,0.1772691081776092
2025-03-09 00:02:00+00:00,18.286530525604967,12.54581013060567,19.4656979666806,7.84357111451177,17.770331589471162,19.94165821492623,13.654739975993582,20.05577076965619
2025-03-09 00:07:00+00:00,42.49791314169117,45.224937646970076,42.65375687120328,33.87041841195715,46.01454693229193,46.19602861998235,35.62688307456255,44.918076848586146
2025-03-09 00:12:00+00:00,42.559211074863754,46.13801979991512,42.639238967260944,36.7161728094272,45.78931669328861,45.54375794383678,36.45585291683487,45.01213582998701
2025-03-09 00:17:00+00:00,42.210007885286885,45.36497065199187,42.92901539088931,43.006108531954695,46.07557931802013,45.94188862440783,39.86446461247726,44.986163077865015
2025-03-09 00:22:00+00:00,42.670996376284606,44.509153590878725,42.53093399765318,42.00768093057061,46.19073139980617,45.59484876757233,39.744945997935986,45.07311345029923
2025-03-09 00:27:00+00:00,43.53538377499647,45.091258357832515,42.30283410595528,44.224615897194255,46.30372243784294,46.15019534363894,39.858885799811326,44.741014258902396
2025-03-09 00:32:00+00:00,43.75994615303727,45.60496015678124,43.53487349494007,44.17510425587948,46.139364868954736,46.71812384547674,42.18993995680438,44.741704667739036
2025-03-09 00:37:00+00:00,44.26871513951158,45.25725466642876,42.87173965886491,44.88843661634726,46.12773247320315,46.870106407867105,43.67856503181516,45.392427473973484
2025-03-09 00:42:00+00:00,44.71620551682107,45.53831004901955,43.069499655070544,44.334671774120906,44.90310070231986,47.04755627340451,43.758081461154305,45.058088884448864
2025-03-09 00:47:00+00:00,44.368557389176814,45.68346057034971,43.477216904856576,45.38472093969722,44.91453474030184,42.36052369463399,43.79043514117271,45.049741070222034
2025-03-09 00:52:00+00:00,36.36595457979332,25.92158581791968,41.41108144181119,45.12872317247625,23.13648295390814,14.154762991775254,43.94819407213504,26.85889097144844
2025-03-09 00:57:00+00:00,10.512043767631658,8.983268028024522,11.62984010996934,22.523664805238365,5.670716451169038,7.025176586141344,28.084622890832946,5.352255651193013
2025-03-09 01:02:00+00:00,,4.883414723578726,,5.412125965855043,,,9.396823280388006,
